,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_F,Pos_G,Pos
186,18,18,30.0,3.8,10.3,0.368,1.2,3.7,0.318,2.6,6.6,0.395,0.424,3.2,4.2,0.773,0.2,3.3,3.5,2.6,1.7,0.3,2.8,2.8,11.9,0.0,0.0,1.0,G
187,18,15,24.4,4.1,8.2,0.497,0.0,0.1,0.0,4.1,8.1,0.5,0.497,3.6,4.2,0.842,4.0,4.8,8.8,1.3,0.3,0.7,1.6,2.1,11.7,0.0,1.0,0.0,F
188,18,17,27.7,4.6,10.9,0.418,0.9,3.4,0.258,3.7,7.4,0.493,0.459,1.7,2.4,0.698,0.6,1.8,2.4,1.3,0.6,0.2,1.3,2.0,11.7,0.0,0.0,1.0,G
189,18,18,33.4,3.7,9.4,0.396,1.7,4.6,0.378,2.0,4.8,0.414,0.488,2.2,2.4,0.93,0.4,1.7,2.1,1.1,0.8,0.1,1.1,1.3,11.4,0.0,0.0,1.0,G
190,18,18,33.2,4.1,10.1,0.403,1.1,3.7,0.284,3.0,6.3,0.474,0.456,2.2,3.1,0.696,0.7,2.6,3.3,5.0,1.8,0.4,3.6,1.9,11.3,0.0,0.0,1.0,G
191,18,18,32.0,4.3,10.1,0.423,0.9,3.8,0.25,3.3,6.3,0.526,0.47,1.7,2.8,0.608,0.6,3.6,4.2,4.3,1.3,0.2,3.7,1.6,11.2,0.0,0.0,1.0,G
192,13,11,31.1,4.1,9.8,0.417,1.5,4.2,0.364,2.5,5.5,0.458,0.496,1.4,2.2,0.643,0.7,2.7,3.4,0.8,1.6,0.2,2.5,2.1,11.1,0.0,0.0,1.0,G
193,17,17,25.8,4.2,8.1,0.514,1.1,3.1,0.358,3.1,5.0,0.612,0.583,1.5,2.1,0.743,1.5,3.9,5.4,1.8,0.5,0.3,2.0,2.6,11.0,0.0,1.0,0.0,F
194,18,0,18.8,3.4,8.1,0.421,0.3,1.3,0.208,3.1,6.7,0.463,0.438,3.7,4.2,0.88,0.4,2.1,2.4,1.5,0.9,0.2,1.4,2.1,10.7,0.0,0.0,1.0,G
195,18,18,30.5,3.9,9.4,0.414,0.6,2.6,0.213,3.3,6.8,0.492,0.444,1.9,2.4,0.791,0.7,2.4,3.2,2.7,1.5,0.3,2.3,2.2,10.2,0.0,0.0,1.0,G
196,18,18,28.2,4.3,8.2,0.52,0.3,1.2,0.286,3.9,7.1,0.559,0.541,1.3,1.7,0.742,2.1,3.8,5.8,0.9,0.3,0.8,1.5,2.3,10.2,0.0,1.0,0.0,F
197,18,18,26.4,3.5,7.3,0.481,1.1,3.6,0.308,2.4,3.7,0.652,0.557,1.9,2.5,0.756,1.7,3.3,5.0,0.3,0.3,0.5,1.2,1.7,10.0,0.0,1.0,0.0,F
198,18,18,24.2,3.3,7.2,0.462,0.7,2.6,0.283,2.6,4.7,0.56,0.512,2.2,3.2,0.672,0.8,2.4,3.3,1.6,1.2,0.3,1.8,2.6,9.6,0.0,0.0,1.0,G
199,18,18,28.1,3.1,7.6,0.404,1.3,3.9,0.338,1.7,3.6,0.477,0.493,2.1,2.3,0.927,2.3,2.3,4.6,0.8,0.9,0.6,0.7,2.1,9.6,0.0,1.0,0.0,F
200,18,18,33.3,3.1,8.7,0.35,1.5,4.7,0.318,1.6,4.0,0.389,0.436,1.9,2.3,0.81,0.4,3.2,3.6,1.4,1.1,0.3,1.2,2.6,9.5,0.0,0.0,1.0,G
201,18,18,23.2,3.4,8.6,0.4,1.2,3.9,0.3,2.3,4.7,0.482,0.468,1.3,2.0,0.667,1.3,4.2,5.4,1.1,1.1,0.7,0.9,2.3,9.4,0.0,0.0,1.0,G
202,16,10,30.3,3.4,8.0,0.43,1.5,3.7,0.407,1.9,4.3,0.449,0.523,0.8,1.5,0.542,1.0,2.7,3.7,1.8,1.2,0.1,1.1,2.4,9.2,0.0,0.0,1.0,G
203,18,18,30.8,2.9,5.5,0.535,0.1,0.9,0.059,2.9,4.6,0.634,0.54,3.1,4.3,0.727,1.8,4.2,6.0,1.1,1.0,0.2,1.6,2.1,9.1,0.0,1.0,0.0,F
204,14,8,24.5,2.9,6.9,0.412,0.9,2.7,0.316,2.0,4.2,0.475,0.474,2.1,2.6,0.784,0.6,2.1,2.7,2.1,0.8,0.1,1.7,1.9,8.6,0.0,0.0,1.0,G
205,18,18,29.8,3.3,8.7,0.378,1.3,4.9,0.258,2.0,3.7,0.537,0.452,0.4,0.8,0.533,0.4,1.4,1.8,1.2,0.7,0.0,2.4,3.5,8.3,0.0,0.0,1.0,G
206,14,0,25.9,3.0,6.3,0.477,0.6,2.3,0.25,2.4,4.0,0.607,0.523,1.6,2.9,0.575,1.6,4.0,5.6,1.2,1.2,0.7,1.4,2.4,8.2,0.0,1.0,0.0,F
207,18,16,22.3,3.1,5.2,0.596,0.0,0.0,0.28782012195121953,3.1,5.2,0.596,0.596,1.9,3.4,0.565,2.9,4.1,6.9,0.2,0.4,1.9,1.3,2.3,8.2,1.0,0.0,0.0,C
208,18,18,25.0,2.6,7.5,0.348,1.1,4.2,0.253,1.6,3.3,0.467,0.419,1.9,2.9,0.673,1.1,2.9,4.1,0.7,0.7,0.6,1.2,1.9,8.2,0.0,0.0,1.0,G
209,18,18,29.3,3.2,6.3,0.504,0.4,1.4,0.32,2.7,4.9,0.557,0.54,1.3,2.0,0.667,1.7,4.2,5.8,2.2,0.9,0.4,1.9,2.4,8.1,0.0,0.0,1.0,G
210,18,15,28.0,2.9,7.3,0.394,0.7,2.8,0.24,2.2,4.6,0.488,0.439,1.7,2.1,0.811,0.9,4.1,5.0,2.6,1.1,0.3,2.0,1.4,8.1,0.0,0.0,1.0,G
211,12,0,20.8,3.5,4.9,0.712,0.2,0.4,0.4,3.3,4.5,0.741,0.729,0.8,1.0,0.833,1.9,3.7,5.6,0.3,0.9,0.5,1.3,2.6,8.0,0.0,1.0,0.0,F
212,12,9,29.3,2.4,7.7,0.315,0.6,2.5,0.233,1.8,5.2,0.355,0.353,2.3,2.9,0.8,0.8,3.3,4.2,2.8,1.3,0.4,1.9,2.4,7.8,0.0,0.0,1.0,G
213,18,18,30.3,3.1,7.2,0.426,0.1,0.2,0.333,3.0,7.0,0.429,0.43,0.7,1.3,0.542,1.7,3.9,5.6,3.2,1.1,0.3,1.7,1.6,6.9,0.0,0.0,1.0,G
214,17,17,23.4,2.9,4.8,0.605,0.0,0.0,0.28782012195121953,2.9,4.8,0.605,0.605,1.2,1.9,0.606,2.6,3.7,6.4,1.1,0.8,0.5,0.9,2.2,6.9,1.0,0.0,0.0,C
215,18,18,22.2,2.2,4.7,0.471,0.0,0.0,0.28782012195121953,2.2,4.7,0.471,0.471,2.3,3.7,0.612,3.3,3.1,6.4,0.3,0.4,0.9,1.0,2.9,6.7,0.0,1.0,0.0,F
216,11,6,16.1,2.3,5.6,0.403,0.5,2.0,0.227,1.8,3.6,0.5,0.444,1.7,2.0,0.864,0.7,2.0,2.7,0.9,0.3,0.4,1.5,1.7,6.7,1.0,0.0,0.0,C
217,18,16,23.9,2.6,4.5,0.568,0.0,0.1,0.0,2.6,4.4,0.582,0.568,1.5,2.3,0.659,3.1,3.7,6.8,1.0,0.6,1.3,1.4,2.3,6.6,0.0,1.0,0.0,F
218,15,10,24.7,2.3,6.9,0.337,0.1,1.2,0.056,2.3,5.7,0.395,0.341,1.5,2.3,0.676,0.9,2.7,3.5,1.3,0.7,0.1,1.6,2.0,6.3,0.0,0.0,1.0,G
219,18,6,22.4,2.1,5.9,0.346,1.0,3.4,0.295,1.1,2.6,0.413,0.43,1.1,1.3,0.826,0.6,1.3,1.8,0.2,0.7,0.3,0.7,2.0,6.2,0.0,1.0,0.0,F
220,15,1,19.5,2.2,6.4,0.344,1.5,5.1,0.299,0.7,1.3,0.526,0.464,0.2,0.2,1.0,0.8,2.2,3.0,0.3,0.6,0.7,1.1,1.6,6.1,0.0,0.0,1.0,G
221,18,0,20.8,2.4,4.8,0.5,0.1,0.7,0.154,2.3,4.1,0.562,0.512,1.2,2.1,0.595,1.3,2.3,3.6,1.3,0.8,0.5,1.9,2.7,6.1,0.0,0.0,1.0,G
222,15,6,22.0,2.1,6.6,0.323,1.0,3.5,0.283,1.1,3.1,0.37,0.399,0.7,0.9,0.846,0.2,2.1,2.3,3.1,0.6,0.3,2.7,2.1,6.0,0.0,0.0,1.0,G
223,18,17,32.6,2.4,6.4,0.383,0.5,1.6,0.31,1.9,4.8,0.407,0.422,0.6,0.7,0.833,0.6,1.1,1.7,4.7,1.6,0.5,1.4,2.1,5.9,0.0,0.0,1.0,G
224,18,0,24.7,2.1,5.4,0.381,1.4,4.5,0.321,0.6,0.9,0.688,0.515,0.3,0.4,0.625,0.3,2.5,2.8,1.3,0.9,0.3,0.7,1.8,5.8,0.0,0.0,1.0,G
225,16,1,19.6,1.4,4.1,0.348,0.1,0.1,1.0,1.4,4.1,0.338,0.356,2.4,3.9,0.629,1.9,4.3,6.2,1.6,1.1,0.7,1.6,3.3,5.4,0.0,1.0,0.0,F
226,18,7,21.9,1.4,4.3,0.333,0.9,3.1,0.309,0.5,1.3,0.391,0.442,1.3,1.9,0.686,0.8,2.6,3.4,0.9,0.9,0.3,0.7,2.2,5.2,0.0,1.0,0.0,F
227,18,2,19.6,1.7,4.1,0.411,1.3,3.1,0.418,0.4,1.0,0.389,0.568,0.6,0.7,0.769,0.2,2.1,2.3,1.3,0.7,0.1,1.1,0.8,5.2,0.0,0.0,1.0,G
228,18,4,23.2,1.7,4.6,0.378,0.9,2.8,0.333,0.8,1.7,0.452,0.482,0.7,0.8,0.857,0.4,2.4,2.8,1.0,1.6,0.2,1.0,1.2,5.1,0.0,0.0,1.0,G
229,17,7,18.3,1.9,4.3,0.452,0.7,2.4,0.3,1.2,1.9,0.636,0.534,0.4,0.7,0.583,0.8,1.9,2.6,0.5,0.2,0.1,0.5,1.4,5.0,0.0,0.0,1.0,G
230,17,15,21.0,1.2,3.6,0.344,0.1,1.2,0.1,1.1,2.4,0.463,0.361,2.3,2.8,0.83,0.5,2.2,2.7,1.8,1.3,0.1,2.1,2.2,4.9,0.0,0.0,1.0,G
231,18,3,16.2,1.4,3.2,0.448,0.1,1.0,0.056,1.4,2.2,0.625,0.457,1.7,2.3,0.714,0.2,1.3,1.4,0.9,1.1,0.1,1.2,1.8,4.6,0.0,0.0,1.0,G
232,18,14,18.9,1.7,2.4,0.682,0.0,0.0,0.28782012195121953,1.7,2.4,0.682,0.682,1.1,1.6,0.679,0.8,2.1,2.8,2.4,0.5,1.0,1.6,2.8,4.4,0.0,1.0,0.0,F
233,18,15,17.6,1.6,5.3,0.292,0.5,1.5,0.333,1.1,3.8,0.275,0.339,0.6,1.0,0.556,1.3,1.9,3.3,0.6,0.3,0.7,1.2,1.8,4.2,0.0,1.0,0.0,F
234,16,2,19.0,1.0,3.1,0.32,0.1,1.5,0.083,0.9,1.6,0.538,0.34,0.8,1.1,0.765,0.5,0.8,1.3,1.6,0.7,0.0,1.2,1.4,2.9,0.0,0.0,1.0,G
235,17,12,15.9,0.9,2.1,0.444,0.0,0.0,0.28782012195121953,0.9,2.1,0.444,0.444,0.9,1.5,0.6,0.9,0.6,1.5,0.3,0.1,0.5,1.2,2.2,2.8,0.0,1.0,0.0,F
236,14,0,16.6,1.1,2.7,0.395,0.3,1.0,0.286,0.8,1.7,0.458,0.447,0.3,0.5,0.571,0.9,2.3,3.1,2.2,0.6,0.2,1.4,1.9,2.7,0.0,1.0,0.0,F
237,18,0,15.4,0.8,2.1,0.405,0.2,0.6,0.3,0.7,1.5,0.444,0.446,0.4,0.8,0.5,0.1,0.9,1.0,1.4,0.6,0.2,0.9,1.5,2.2,0.0,0.0,1.0,G
