,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_F,Pos_G,Pos
90,18,15,24.1,1.8,3.9,0.457,0.4,1.2,0.381,1.3,2.7,0.49,0.514,0.7,0.9,0.706,0.1,1.3,1.4,1.8,0.4,0.1,1.7,0.8,4.7,0.0,0.0,1.0,G
91,13,13,18.2,1.2,2.0,0.615,0.0,0.0,0.28782012195121953,1.2,2.0,0.615,0.615,1.7,2.7,0.629,2.2,3.1,5.3,0.2,1.1,0.5,0.7,1.9,4.2,1.0,0.0,0.0,C
92,16,10,16.8,1.3,3.5,0.375,0.7,1.8,0.379,0.6,1.7,0.37,0.473,0.7,0.8,0.846,0.1,0.9,1.1,1.1,0.3,0.1,1.3,1.8,4.0,0.0,0.0,1.0,G
93,18,9,19.4,1.3,3.8,0.338,0.7,2.2,0.308,0.6,1.6,0.379,0.426,0.7,0.8,0.8,0.3,1.9,2.2,0.8,0.3,0.1,0.4,1.3,3.9,0.0,0.0,1.0,G
94,18,2,16.0,1.7,3.0,0.556,0.1,0.5,0.111,1.6,2.5,0.644,0.565,0.3,0.7,0.417,1.2,2.5,3.7,0.4,0.3,1.5,1.3,2.6,3.7,0.0,1.0,0.0,F
95,18,0,16.3,1.2,3.3,0.35,1.0,2.9,0.34,0.2,0.4,0.429,0.5,0.3,0.4,0.857,0.1,1.2,1.3,0.3,0.5,0.1,0.3,1.1,3.7,0.0,0.0,1.0,G
96,15,0,15.7,1.5,2.9,0.512,0.0,0.1,0.0,1.5,2.8,0.524,0.512,0.7,1.4,0.476,1.7,2.5,4.1,0.2,0.7,0.7,0.5,3.0,3.6,0.0,1.0,0.0,F
97,18,4,19.3,1.1,2.7,0.408,0.7,1.9,0.353,0.4,0.8,0.533,0.531,0.7,0.8,0.867,1.2,1.7,2.9,1.8,0.6,0.1,0.3,2.6,3.6,0.0,1.0,0.0,F
98,18,18,38.7,5.2,13.9,0.375,2.8,7.8,0.362,2.4,6.1,0.391,0.476,6.2,6.8,0.911,0.4,3.2,3.6,7.2,2.8,0.1,4.1,2.7,19.5,0.0,0.0,1.0,G
99,18,18,36.0,6.1,15.1,0.406,1.9,5.8,0.327,4.2,9.3,0.455,0.469,4.6,5.8,0.79,1.4,6.5,7.9,2.2,0.7,0.7,2.5,2.5,18.7,0.0,1.0,0.0,F
